id,type,group,name
78,7,sensfusion6,qx
79,7,sensfusion6,qy
80,1,loco,mode
81,7,sensfusion6,gravityX
82,7,sensfusion6,gravityY
83,7,sensfusion6,gravityZ
84,7,sensfusion6,accZbase
85,1,sensfusion6,isInit
86,1,sensfusion6,isCalibrated
87,7,acc,x
88,7,acc,y
89,7,acc,z
90,7,baro,asl
91,7,baro,temp
92,7,baro,pressure
93,5,controller,ctr_yaw
94,7,ctrltarget,x
95,7,ctrltarget,y
96,7,ctrltarget,z
97,7,ctrltarget,vx
98,7,ctrltarget,vy
99,7,ctrltarget,vz
100,7,ctrltarget,ax
101,7,ctrltarget,ay
102,7,ctrltarget,az
103,7,ctrltarget,roll
104,7,ctrltarget,pitch
105,7,ctrltarget,yaw
106,5,ctrltargetZ,x
107,5,ctrltargetZ,y
108,5,ctrltargetZ,z
109,1,twr,rangingPerSec4
110,5,ctrltargetZ,vy
111,5,ctrltargetZ,vz
112,5,ctrltargetZ,ax
113,5,ctrltargetZ,ay
114,5,ctrltargetZ,az
115,7,gyro,x
116,7,gyro,y
117,7,gyro,z
118,7,mag,x
119,7,mag,y
120,7,mag,z
121,7,stabilizer,roll
122,7,stabilizer,pitch
123,7,stabilizer,yaw
124,7,stabilizer,thrust
125,7,stabilizer,rtStab
126,3,stabilizer,intToOut
127,7,stateEstimate,x
128,7,stateEstimate,y
129,7,stateEstimate,z
130,7,stateEstimate,vx
131,7,stateEstimate,vy
132,7,stateEstimate,vz
133,7,stateEstimate,ax
134,7,stateEstimate,ay
135,7,stateEstimate,az
136,7,stateEstimate,roll
137,7,tdoaEngine,stEst
138,7,stateEstimate,yaw
139,7,stateEstimate,qx
140,7,tdoaEngine,stCc
141,7,stateEstimate,qz
142,7,stateEstimate,qw
143,5,stateEstimateZ,x
144,5,stateEstimateZ,y
145,5,stateEstimateZ,z
146,5,stateEstimateZ,vx
147,5,stateEstimateZ,vy
148,5,stateEstimateZ,vz
149,5,stateEstimateZ,ax
150,5,stateEstimateZ,ay
151,5,stateEstimateZ,az
152,3,stateEstimateZ,quat
153,1,motion,motion
154,5,stateEstimateZ,ratePitch
155,5,stateEstimateZ,rateYaw
156,7,posEstAlt,estimatedZ
157,7,posEstAlt,estVZ
158,7,posEstAlt,velocityZ
159,7,posCtl,targetVX
160,1,motion,outlierCount
161,7,posCtl,targetVZ
162,7,posCtl,targetX
163,7,posCtl,targetY
164,7,posCtl,targetZ
165,7,posCtl,bodyVX
166,2,oa,left
167,7,posCtl,bodyX
168,7,posCtl,bodyY
169,7,posCtl,Yp
170,7,posCtl,Yi
171,7,posCtl,Yd
172,7,posCtl,Zp
173,7,posCtl,Zi
174,7,lighthouse,rawAngle1x
175,7,lighthouse,rawAngle1y
176,7,lighthouse,angle0x
177,7,lighthouse,angle0y
178,7,lighthouse,angle1x
179,7,lighthouse,angle1y
180,7,posCtl,VZd
181,7,lighthouse,angle0y_1
182,7,posCtrlIndi,posRef_y
183,7,posCtrlIndi,posRef_z
184,7,posCtrlIndi,velS_x
185,7,posCtrlIndi,velS_y
186,7,posCtrlIndi,velS_z
187,7,posCtrlIndi,velRef_x
188,7,posCtrlIndi,velRef_y
189,7,posCtrlIndi,velRef_z
190,7,posCtrlIndi,angS_roll
191,7,lighthouse,angle1y_3
192,7,posCtrlIndi,angS_yaw
193,7,posCtrlIndi,angF_roll
194,7,posCtrlIndi,angF_pitch
195,7,posCtrlIndi,angF_yaw
196,7,posCtrlIndi,accRef_x
197,7,posCtrlIndi,accRef_y
198,7,posCtrlIndi,accRef_z
199,7,posCtrlIndi,accS_x
200,7,posCtrlIndi,accS_y
201,7,posCtrlIndi,accS_z
202,7,posCtrlIndi,accF_x
203,7,posCtrlIndi,accF_y
204,7,posCtrlIndi,accF_z
205,7,posCtrlIndi,accFT_x
206,7,posCtrlIndi,accFT_y
207,7,posCtrlIndi,accFT_z
208,7,posCtrlIndi,accErr_x
209,7,posCtrlIndi,accErr_y
210,7,posCtrlIndi,accErr_z
211,7,posCtrlIndi,phi_tilde
212,7,posCtrlIndi,theta_tilde
213,7,posCtrlIndi,T_tilde
214,7,posCtrlIndi,T_inner
215,7,posCtrlIndi,T_inner_f
216,7,posCtrlIndi,T_incremented
217,7,posCtrlIndi,cmd_phi
218,7,posCtrlIndi,cmd_theta
219,7,estimator,rtApnd
220,7,lighthouse,z
221,7,controller,cmd_thrust
222,7,controller,cmd_roll
223,7,controller,cmd_pitch
224,7,controller,cmd_yaw
225,7,controller,r_roll
226,7,controller,r_pitch
227,7,controller,r_yaw
228,7,controller,accelz
229,7,controller,actuatorThrust
230,7,controller,roll
231,7,controller,pitch
232,7,controller,yaw
233,7,controller,rollRate
234,7,controller,pitchRate
235,7,controller,yawRate
236,7,ctrlMel,cmd_thrust
237,7,ctrlMel,cmd_roll
238,7,ctrlMel,cmd_pitch
239,7,ctrlMel,cmd_yaw
240,7,ctrlMel,r_roll
241,7,ctrlMel,r_pitch
242,7,ctrlMel,r_yaw
243,7,ctrlMel,accelz
244,7,ctrlMel,zdx
245,7,ctrlMel,zdy
246,7,ctrlMel,zdz
247,7,ctrlMel,i_err_x
248,7,ctrlMel,i_err_y
249,7,ctrlMel,i_err_z
250,7,ctrlINDI,cmd_thrust
251,7,ctrlINDI,cmd_roll
252,7,ctrlINDI,cmd_pitch
253,7,ctrlINDI,cmd_yaw
254,7,ctrlINDI,r_roll
255,7,ctrlINDI,r_pitch
256,7,ctrlINDI,r_yaw
257,7,ctrlINDI,u_act_dyn_p
258,7,ctrlINDI,u_act_dyn_q
259,7,ctrlINDI,u_act_dyn_r
260,7,ctrlINDI,du_p
261,7,ctrlINDI,du_q
262,7,ctrlINDI,du_r
263,7,ctrlINDI,ang_accel_ref_p
264,7,ctrlINDI,ang_accel_ref_q
265,7,ctrlINDI,ang_accel_ref_r
266,7,ctrlINDI,rate_d[0]
267,7,ctrlINDI,rate_d[1]
268,7,ctrlINDI,rate_d[2]
269,7,ctrlINDI,uf_p
270,7,ctrlINDI,uf_q
271,7,ctrlINDI,uf_r
272,7,ctrlINDI,Omega_f_p
273,7,ctrlINDI,Omega_f_q
274,7,ctrlINDI,Omega_f_r
275,7,ctrlINDI,n_p
276,7,ctrlINDI,n_q
277,7,ctrlINDI,n_r
278,3,motor,m1
279,3,motor,m2
280,3,motor,m3
281,3,motor,m4
282,3,colAv,latency
283,7,health,motorVarXM1
284,7,health,motorVarYM1
285,7,health,motorVarXM2
286,7,health,motorVarYM2
287,7,health,motorVarXM3
288,7,health,motorVarYM3
289,7,health,motorVarXM4
290,7,health,motorVarYM4
291,1,health,motorPass
292,7,health,batterySag
293,1,health,batteryPass
294,2,health,motorTestCount
295,1,kalman,inFlight
296,7,kalman,stateX
297,7,kalman,stateY
298,7,kalman,stateZ
299,7,kalman,statePX
300,7,kalman,statePY
301,7,kalman,statePZ
302,7,kalman,stateD0
303,7,kalman,stateD1
304,7,kalman,stateD2
305,7,kalman,varX
306,7,kalman,varY
307,7,kalman,varZ
308,7,kalman,varPX
309,7,kalman,varPY
310,7,kalman,varPZ
311,7,kalman,varD0
312,7,kalman,varD1
313,7,kalman,varD2
314,7,kalman,q0
315,7,kalman,q1
316,7,kalman,q2
317,7,kalman,q3
318,7,kalman,rtUpdate
319,7,kalman,rtPred
320,7,kalman,rtFinal
321,6,outlierf,lhWin
322,7,kalman_pred,predNX
323,7,kalman_pred,predNY
324,7,kalman_pred,measNX
325,7,kalman_pred,measNY
326,7,ring,fadeTime
327,6,gps,lat
328,6,gps,lon
329,7,gps,hMSL
330,7,gps,hAcc
331,6,gps,nsat
332,6,gps,fix
333,7,usd,spiWrBps
334,7,usd,spiReBps
335,7,usd,fatWrBps
336,1,loco,mode
337,7,loco,spiWr
338,7,loco,spiRe
339,2,ranging,state
340,7,ranging,distance0
341,7,ranging,distance1
342,7,ranging,distance2
343,7,ranging,distance3
344,7,ranging,distance4
345,7,ranging,distance5
346,7,ranging,distance6
347,7,ranging,distance7
348,7,ranging,pressure0
349,7,ranging,pressure1
350,7,ranging,pressure2
351,7,ranging,pressure3
352,7,ranging,pressure4
353,7,ranging,pressure5
354,7,ranging,pressure6
355,7,ranging,pressure7
356,1,twr,rangingSuccessRate0
357,1,twr,rangingPerSec0
358,1,twr,rangingSuccessRate1
359,1,twr,rangingPerSec1
360,1,twr,rangingSuccessRate2
361,1,twr,rangingPerSec2
362,1,twr,rangingSuccessRate3
363,1,twr,rangingPerSec3
364,1,twr,rangingSuccessRate4
365,1,twr,rangingPerSec4
366,1,twr,rangingSuccessRate5
367,1,twr,rangingPerSec5
368,7,tdoa2,d7-0
369,7,tdoa2,d0-1
370,7,tdoa2,d1-2
371,7,tdoa2,d2-3
372,7,tdoa2,d3-4
373,7,tdoa2,d4-5
374,7,tdoa2,d5-6
375,7,tdoa2,d6-7
376,7,tdoa2,cc0
377,7,tdoa2,cc1
378,7,tdoa2,cc2
379,7,tdoa2,cc3
380,7,tdoa2,cc4
381,7,tdoa2,cc5
382,7,tdoa2,cc6
383,7,tdoa2,cc7
384,2,tdoa2,dist7-0
385,2,tdoa2,dist0-1
386,2,tdoa2,dist1-2
387,2,tdoa2,dist2-3
388,2,tdoa2,dist3-4
389,2,tdoa2,dist4-5
390,2,tdoa2,dist5-6
391,2,tdoa2,dist6-7
392,7,tdoaEngine,stRx
393,7,tdoaEngine,stEst
394,7,tdoaEngine,stTime
395,7,tdoaEngine,stFound
396,7,tdoaEngine,stCc
397,7,tdoaEngine,stHit
398,7,tdoaEngine,stMiss
399,7,tdoaEngine,cc
400,2,tdoaEngine,tof
401,7,tdoaEngine,tdoa
402,6,outlierf,bucket0
403,6,outlierf,bucket1
404,6,outlierf,bucket2
405,6,outlierf,bucket3
406,6,outlierf,bucket4
407,7,outlierf,accLev
408,7,outlierf,errD
409,1,motion,motion
410,5,motion,deltaX
411,5,motion,deltaY
412,2,motion,shutter
413,1,motion,maxRaw
414,1,motion,minRaw
415,1,motion,Rawsum
416,1,motion,outlierCount
417,1,motion,squal
418,7,motion,std
419,2,oa,front
420,2,oa,back
421,2,oa,up
422,2,oa,left
423,2,oa,right
424,1,activeMarker,btSns
425,1,activeMarker,i2cOk
426,1,aideck,receivebyte
427,1,lighthouse,validAngles
428,7,lighthouse,rawAngle0x
429,7,lighthouse,rawAngle0y
430,7,lighthouse,rawAngle1x
431,7,lighthouse,rawAngle1y
432,7,lighthouse,angle0x
433,7,lighthouse,angle0y
434,7,lighthouse,angle1x
435,7,lighthouse,angle1y
436,7,lighthouse,angle0x_1
437,7,lighthouse,angle0y_1
438,7,lighthouse,angle1x_1
439,7,lighthouse,angle1y_1
440,7,lighthouse,angle0x_2
441,7,lighthouse,angle0y_2
442,7,lighthouse,angle1x_2
443,7,lighthouse,angle1y_2
444,7,lighthouse,angle0x_3
445,7,lighthouse,angle0y_3
446,7,lighthouse,angle1x_3
447,7,lighthouse,angle1y_3
448,7,lighthouse,rawAngle0xlh2
449,7,lighthouse,rawAngle0ylh2
450,7,lighthouse,rawAngle1xlh2
451,7,lighthouse,rawAngle1ylh2
452,7,lighthouse,angle0x_0lh2
453,7,lighthouse,angle0y_0lh2
454,7,lighthouse,angle1x_0lh2
455,7,lighthouse,angle1y_0lh2
456,7,lighthouse,serRt
457,7,lighthouse,frmRt
458,7,lighthouse,cycleRt
459,7,lighthouse,bs0Rt
460,7,lighthouse,bs1Rt
461,2,lighthouse,width0
462,2,lighthouse,width1
463,2,lighthouse,width2
464,2,lighthouse,width3
465,1,lighthouse,comSync
466,2,lighthouse,bsReceive
467,2,lighthouse,bsActive
468,2,lighthouse,bsCalUd
469,2,lighthouse,bsCalCon
470,1,lighthouse,status
471,7,lighthouse,posRt
472,7,lighthouse,estBs0Rt
473,7,lighthouse,estBs1Rt
474,7,lighthouse,x
475,7,lighthouse,y
476,7,lighthouse,z
477,7,lighthouse,delta
478,2,lighthouse,bsGeoVal
479,2,lighthouse,bsCalVal
